frame,frame,x,y,area,contours,particle,box_cx,box_cy,box_angle,box_length,box_width,box_area,box_pts,single,user_rad
0,0,123,258,33.0,"[[[122 254]]

 [[121 255]]

 [[121 256]]

 [[121 257]]

 [[121 258]]

 [[121 259]]

 [[122 260]]

 [[122 261]]

 [[121 262]]

 [[121 263]]

 [[122 263]]

 [[123 263]]

 [[124 263]]

 [[125 263]]

 [[125 262]]

 [[125 261]]

 [[125 260]]

 [[125 259]]

 [[125 258]]

 [[125 257]]

 [[125 256]]

 [[125 255]]

 [[124 254]]

 [[123 254]]]",0,123.0,258.5,90.0,9.0,4.0,36.0,"[[121 254]
 [125 254]
 [125 263]
 [121 263]]",True,6
0,0,49,10,89.5,"[[[38  8]]

 [[37  9]]

 [[37 10]]

 [[37 11]]

 [[38 12]]

 [[39 12]]

 [[40 12]]

 [[41 12]]

 [[42 12]]

 [[43 12]]

 [[44 12]]

 [[45 12]]

 [[46 12]]

 [[47 12]]

 [[48 12]]

 [[49 12]]

 [[50 12]]

 [[51 12]]

 [[52 12]]

 [[53 12]]

 [[54 12]]

 [[55 12]]

 [[56 12]]

 [[57 12]]

 [[58 12]]

 [[59 12]]

 [[60 11]]

 [[61 11]]

 [[62 10]]

 [[62  9]]

 [[61  8]]

 [[60  8]]

 [[59  8]]

 [[58  8]]

 [[57  8]]

 [[56  8]]

 [[55  8]]

 [[54  8]]

 [[53  8]]

 [[52  8]]

 [[51  9]]

 [[50  9]]

 [[49  9]]

 [[48  9]]

 [[47  9]]

 [[46  9]]

 [[45  8]]

 [[44  8]]

 [[43  8]]

 [[42  8]]

 [[41  8]]

 [[40  8]]

 [[39  8]]]",1,49.5,10.0,90.0,25.0,4.0,100.0,"[[37  8]
 [62  8]
 [62 12]
 [37 12]]",True,6
0,0,175,42,162.0,"[[[166  26]]

 [[165  27]]

 [[165  28]]

 [[165  29]]

 [[166  30]]

 [[166  31]]

 [[166  32]]

 [[167  33]]

 [[168  34]]

 [[168  35]]

 [[168  36]]

 [[169  37]]

 [[169  38]]

 [[169  39]]

 [[170  40]]

 [[171  41]]

 [[172  42]]

 [[173  43]]

 [[174  44]]

 [[174  45]]

 [[175  46]]

 [[175  47]]

 [[176  48]]

 [[177  49]]

 [[178  50]]

 [[179  51]]

 [[179  52]]

 [[180  53]]

 [[181  54]]

 [[182  55]]

 [[183  56]]

 [[184  57]]

 [[185  57]]

 [[186  57]]

 [[187  57]]

 [[188  56]]

 [[188  55]]

 [[187  54]]

 [[187  53]]

 [[186  52]]

 [[185  51]]

 [[184  50]]

 [[183  49]]

 [[182  48]]

 [[182  47]]

 [[181  46]]

 [[180  45]]

 [[179  44]]

 [[178  44]]

 [[177  43]]

 [[176  42]]

 [[175  41]]

 [[175  40]]

 [[175  39]]

 [[174  38]]

 [[174  37]]

 [[173  36]]

 [[173  35]]

 [[172  34]]

 [[172  33]]

 [[171  32]]

 [[171  31]]

 [[171  30]]

 [[170  29]]

 [[170  28]]

 [[169  27]]

 [[168  26]]

 [[167  26]]]",2,175.0,41.5,55.784297943115234,37.443233489990234,7.0123372077941895,262.564579381984,"[[162  28]
 [167  24]
 [188  55]
 [183  59]]",False,6
0,0,13,38,128.5,"[[[ 0 28]]

 [[ 0 29]]

 [[ 0 30]]

 [[ 0 31]]

 [[ 0 32]]

 [[ 0 33]]

 [[ 0 34]]

 [[ 1 34]]

 [[ 2 35]]

 [[ 3 36]]

 [[ 4 36]]

 [[ 5 37]]

 [[ 6 37]]

 [[ 7 38]]

 [[ 8 38]]

 [[ 9 39]]

 [[10 39]]

 [[11 39]]

 [[12 39]]

 [[13 40]]

 [[14 41]]

 [[15 42]]

 [[16 42]]

 [[17 43]]

 [[18 44]]

 [[19 44]]

 [[20 45]]

 [[21 45]]

 [[22 45]]

 [[23 46]]

 [[24 46]]

 [[25 47]]

 [[26 47]]

 [[27 47]]

 [[28 47]]

 [[29 46]]

 [[29 45]]

 [[28 44]]

 [[27 43]]

 [[26 43]]

 [[25 42]]

 [[24 42]]

 [[23 41]]

 [[22 41]]

 [[21 40]]

 [[20 39]]

 [[19 39]]

 [[18 38]]

 [[17 38]]

 [[16 38]]

 [[15 38]]

 [[14 38]]

 [[13 37]]

 [[12 36]]

 [[11 36]]

 [[10 35]]

 [[ 9 34]]

 [[ 8 34]]

 [[ 7 33]]

 [[ 6 32]]

 [[ 5 32]]

 [[ 4 31]]

 [[ 3 30]]

 [[ 2 30]]

 [[ 1 29]]]",3,13.5,38.25,28.810794830322266,34.08480453491211,5.563971042633057,189.64686542605887,"[[-2 32]
 [ 0 28]
 [29 44]
 [27 49]]",False,6
0,0,186,32,75.0,"[[[179  28]]

 [[178  29]]

 [[178  30]]

 [[179  31]]

 [[180  32]]

 [[181  33]]

 [[182  33]]

 [[183  33]]

 [[184  34]]

 [[185  34]]

 [[186  35]]

 [[187  35]]

 [[188  36]]

 [[189  36]]

 [[190  37]]

 [[191  37]]

 [[192  37]]

 [[193  37]]

 [[194  37]]

 [[195  36]]

 [[195  35]]

 [[194  34]]

 [[193  33]]

 [[192  32]]

 [[191  32]]

 [[190  31]]

 [[189  31]]

 [[188  31]]

 [[187  30]]

 [[186  30]]

 [[185  30]]

 [[184  29]]

 [[183  28]]

 [[182  28]]

 [[181  28]]

 [[180  28]]]",4,186.25,32.0,23.962486267089844,18.37776756286621,5.4828691482543945,100.7628947842295,"[[177  31]
 [179  26]
 [196  33]
 [193  38]]",True,6
0,0,82,71,112.5,"[[[87 55]]

 [[86 56]]

 [[85 57]]

 [[85 58]]

 [[85 59]]

 [[84 60]]

 [[84 61]]

 [[83 62]]

 [[83 63]]

 [[82 64]]

 [[82 65]]

 [[82 66]]

 [[82 67]]

 [[82 68]]

 [[82 69]]

 [[81 70]]

 [[81 71]]

 [[81 72]]

 [[80 73]]

 [[80 74]]

 [[79 75]]

 [[79 76]]

 [[78 77]]

 [[78 78]]

 [[78 79]]

 [[78 80]]

 [[78 81]]

 [[78 82]]

 [[78 83]]

 [[78 84]]

 [[78 85]]

 [[79 86]]

 [[80 87]]

 [[81 86]]

 [[82 85]]

 [[82 84]]

 [[82 83]]

 [[82 82]]

 [[82 81]]

 [[82 80]]

 [[83 79]]

 [[83 78]]

 [[83 77]]

 [[83 76]]

 [[83 75]]

 [[83 74]]

 [[83 73]]

 [[83 72]]

 [[83 71]]

 [[83 70]]

 [[84 69]]

 [[85 68]]

 [[85 67]]

 [[86 66]]

 [[86 65]]

 [[86 64]]

 [[87 63]]

 [[87 62]]

 [[88 61]]

 [[88 60]]

 [[89 59]]

 [[89 58]]

 [[89 57]]

 [[89 56]]

 [[88 55]]]",5,82.25,70.0,15.068489074707031,32.9794921875,5.942251682281494,195.97244293196127,"[[75 85]
 [84 53]
 [89 55]
 [81 87]]",False,6
0,0,177,83,69.5,"[[[181  74]]

 [[180  75]]

 [[180  76]]

 [[179  77]]

 [[179  78]]

 [[178  79]]

 [[178  80]]

 [[177  81]]

 [[176  82]]

 [[175  83]]

 [[174  84]]

 [[174  85]]

 [[173  86]]

 [[172  87]]

 [[172  88]]

 [[172  89]]

 [[172  90]]

 [[173  91]]

 [[174  91]]

 [[175  91]]

 [[176  91]]

 [[177  90]]

 [[177  89]]

 [[178  88]]

 [[178  87]]

 [[178  86]]

 [[179  85]]

 [[179  84]]

 [[179  83]]

 [[180  82]]

 [[180  81]]

 [[180  80]]

 [[181  79]]

 [[182  78]]

 [[183  77]]

 [[183  76]]

 [[184  75]]

 [[183  74]]

 [[182  74]]]",6,177.0,81.75,26.56505012512207,19.677398681640625,5.813776969909668,114.40000728305313,"[[170  89]
 [179  72]
 [184  74]
 [175  92]]",True,6
0,0,195,88,79.5,"[[[188  86]]

 [[187  87]]

 [[186  88]]

 [[186  89]]

 [[186  90]]

 [[187  91]]

 [[188  91]]

 [[189  91]]

 [[190  91]]

 [[191  91]]

 [[192  91]]

 [[193  91]]

 [[194  90]]

 [[195  90]]

 [[196  90]]

 [[197  90]]

 [[198  90]]

 [[199  91]]

 [[200  91]]

 [[201  91]]

 [[202  91]]

 [[203  91]]

 [[204  91]]

 [[205  91]]

 [[206  90]]

 [[206  89]]

 [[205  88]]

 [[204  87]]

 [[203  87]]

 [[202  87]]

 [[201  87]]

 [[200  87]]

 [[199  87]]

 [[198  87]]

 [[197  87]]

 [[196  87]]

 [[195  86]]

 [[194  86]]

 [[193  86]]

 [[192  86]]

 [[191  86]]

 [[190  86]]

 [[189  86]]]",7,196.0,88.5,90.0,20.0,5.0,100.0,"[[186  86]
 [206  86]
 [206  91]
 [186  91]]",True,6
0,0,85,93,49.0,"[[[89 89]]

 [[88 90]]

 [[87 90]]

 [[86 91]]

 [[85 92]]

 [[84 92]]

 [[83 93]]

 [[82 93]]

 [[81 94]]

 [[80 95]]

 [[79 96]]

 [[79 97]]

 [[80 98]]

 [[81 98]]

 [[82 98]]

 [[83 97]]

 [[84 97]]

 [[85 96]]

 [[86 95]]

 [[87 94]]

 [[88 94]]

 [[89 93]]

 [[90 93]]

 [[91 92]]

 [[92 91]]

 [[92 90]]

 [[91 89]]

 [[90 89]]]",8,85.0,93.0,56.30992889404297,14.699555397033691,4.437601566314697,65.23077005400637,"[[78 95]
 [90 87]
 [92 91]
 [80 99]]",True,6
0,0,222,53,79.5,"[[[216  48]]

 [[215  49]]

 [[214  50]]

 [[215  51]]

 [[216  52]]

 [[217  53]]

 [[218  54]]

 [[219  54]]

 [[220  55]]

 [[221  55]]

 [[222  56]]

 [[223  56]]

 [[224  56]]

 [[225  57]]

 [[226  57]]

 [[227  58]]

 [[228  58]]

 [[229  58]]

 [[230  58]]

 [[231  58]]

 [[231  57]]

 [[231  56]]

 [[231  55]]

 [[230  54]]

 [[229  54]]

 [[228  53]]

 [[227  53]]

 [[226  52]]

 [[225  52]]

 [[224  51]]

 [[223  51]]

 [[222  50]]

 [[221  49]]

 [[220  49]]

 [[219  49]]

 [[218  48]]

 [[217  48]]]",9,222.5,52.75,26.56505012512207,18.782970428466797,5.813776969909668,109.20000090351459,"[[213  51]
 [215  46]
 [232  54]
 [230  60]]",True,6
