frame,frame,x,y,r,particle,neighbours
0,0,825.5,382.5,55.7,1,"[12, 10, 65, 38, 50, 30]"
0,0,282.5,160.5,61.3,5,"[43, 45, 34]"
0,0,540.5,591.5,45.8,6,"[64, 29, 69, 35]"
0,0,934.5,503.5,51.2,7,"[30, 12, 39, 8, 13]"
0,0,1022.5,500.5,51.4,8,"[7, 39]"
0,0,912.5,308.5,44.5,10,"[12, 1, 50, 52]"
0,0,927.5,405.5,62.4,12,"[1, 10, 39, 30, 7]"
0,0,848.5,568.5,39.9,13,"[56, 66, 65, 30, 7]"
0,0,1043.5,96.5,45.7,14,"[68, 67]"
0,0,236.5,615.5,54.5,18,"[31, 54, 22]"
0,0,795.5,857.5,44.9,19,"[62, 44]"
0,0,182.5,435.5,46.3,21,"[61, 54, 22]"
0,0,183.5,530.5,46.6,22,"[54, 21, 18]"
0,0,391.5,518.5,46.9,23,"[53, 35, 54, 69, 31]"
0,0,403.5,691.5,62.4,25,"[69, 31, 46]"
0,0,751.5,98.5,61.3,26,"[37, 47, 72]"
0,0,550.5,413.5,61.3,28,"[29, 35, 51, 53, 63, 48]"
0,0,585.5,509.5,62.4,29,"[28, 35, 51, 6]"
0,0,846.5,474.5,45.5,30,"[12, 1, 65, 13, 7]"
0,0,338.5,607.5,45.7,31,"[23, 54, 69, 25, 18]"
0,0,192.5,222.5,53.2,34,"[61, 45, 5]"
0,0,484.5,497.5,58.0,35,"[28, 29, 53, 23, 69, 6]"
0,0,768.5,181.5,48.1,37,"[55, 47, 52, 50, 72, 26]"
0,0,729.5,360.5,58.0,38,"[51, 1, 50, 48, 55]"
0,0,1032.5,416.5,44.7,39,"[12, 7, 8]"
0,0,435.5,81.5,49.0,40,"[60, 49, 43]"
0,0,415.5,283.5,59.1,41,"[45, 53, 43, 63, 60]"
0,0,643.5,776.5,52.4,42,"[44, 64, 71]"
0,0,391.5,176.5,52.0,43,"[60, 40, 5, 45, 41]"
