frame,frame,x,y,r,particle,x_mean,y_mean
0,0,142.5,98.5,34.4,0,,
0,0,494.5,122.5,34.4,1,,
1,1,144.5,99.5,32.0,0,,
1,1,492.5,124.5,33.1,1,,
2,2,137.5,99.5,33.3,0,139.9,99.3
2,2,492.5,124.5,33.3,1,492.1,123.7
3,3,137.5,100.5,33.3,0,139.3,99.9
3,3,490.5,122.5,33.3,1,491.5,123.7
4,4,490.5,124.5,32.1,1,138.9,99.5
4,4,137.5,98.5,34.4,0,492.7,123.9
5,5,139.5,101.5,34.4,0,139.5,100.1
5,5,491.5,122.5,34.3,1,492.5,123.7
6,6,142.5,97.5,34.4,0,139.7,99.9
6,6,498.5,125.5,32.1,1,492.7,124.1
7,7,140.5,102.5,34.4,0,139.9,99.9
7,7,491.5,123.5,33.3,1,492.7,124.3
8,8,138.5,99.5,34.4,0,140.7,99.7
8,8,491.5,124.5,33.3,1,494.3,124.5
9,9,490.5,125.5,32.2,1,140.9,100.1
9,9,138.5,98.5,34.4,0,493.1,124.7
10,10,143.5,100.5,32.1,0,141.1,99.9
10,10,499.5,123.5,34.4,1,493.3,125.1
11,11,143.5,99.5,33.2,0,141.7,100.3
11,11,492.5,126.5,32.1,1,494.1,124.9
12,12,141.5,101.5,34.4,0,141.7,100.3
12,12,492.5,125.5,32.2,1,496.3,124.7
13,13,141.5,101.5,34.4,0,140.9,100.3
13,13,495.5,123.5,34.4,1,496.7,125.1
14,14,501.5,124.5,33.3,1,140.7,99.9
14,14,138.5,98.5,34.4,0,498.5,124.7
15,15,139.5,100.5,34.4,0,139.7,99.5
15,15,501.5,125.5,32.2,1,500.1,124.5
16,16,142.5,97.5,34.4,0,138.5,99.1
16,16,501.5,124.5,32.1,1,501.1,124.7
17,17,136.5,99.5,33.2,0,137.7,99.5
17,17,500.5,124.5,32.1,1,500.7,124.7
18,18,135.5,99.5,33.1,0,,
18,18,500.5,124.5,32.1,1,,
19,19,134.5,100.5,32.0,0,,
19,19,499.5,124.5,32.1,1,,
